0,ad
1,ae
2,af
3,ag
4,ai
5,al
6,am
7,an
8,ao
9,aq
10,ar
11,as
12,at
13,au
14,aw
15,ax
16,az
17,ba
18,bb
19,bd
20,be
21,bf
22,bg
23,bh
24,bi
25,bj
26,bl
27,bm
28,bn
29,bo
30,br
31,bs
32,bt
33,bv
34,bw
35,by
36,bz
37,ca
38,cc
39,cd
40,cf
41,cg
42,ch
43,ci
44,ck
45,cl
46,cm
47,cn
48,co
49,cr
50,cu
51,cv
52,cw
53,cx
54,cy
55,cz
56,de
57,dj
58,dk
59,dm
60,do
61,dz
62,ec
63,ee
64,eg
65,eh
66,en
67,er
68,es
69,et
70,eu
71,fi
72,fj
73,fk
74,fm
75,fo
76,fr
77,ga
78,gb
79,gd
80,ge
81,gf
82,gg
83,gh
84,gi
85,gl
86,gm
87,gn
88,gp
89,gq
90,gr
91,gs
92,gt
93,gu
94,gw
95,gy
96,hk
97,hm
98,hn
99,hr
100,ht
101,hu
102,id
103,ie
104,il
105,im
106,in
107,io
108,iq
109,ir
110,is
111,it
112,je
113,jm
114,jo
115,jp
116,kg
117,kh
118,ki
119,km
120,kn
121,kp
122,kr
123,kw
124,ky
125,kz
126,la
127,lb
128,lc
129,li
130,lk
131,lr
132,ls
133,lt
134,lu
135,lv
136,ly
137,ma
138,mc
139,md
140,me
141,mf
142,mg
143,mh
144,mk
145,ml
146,mm
147,mn
148,mo
149,mp
150,mq
151,mr
152,ms
153,mt
154,mu
155,mv
156,mw
157,mx
158,my
159,mz
160,na
161,nc
162,nd
163,ne
164,nf
165,ng
166,ni
167,nl
168,no
169,np
170,nr
171,nu
172,nz
173,om
174,pa
175,pe
176,pf
177,pg
178,ph
179,pk
180,pl
181,pm
182,pn
183,pr
184,ps
185,pt
186,pw
187,py
188,qa
189,re
190,ro
191,rs
192,ru
193,rw
194,sa
195,sb
196,sc
197,sd
198,se
199,sg
200,sh
201,si
202,sj
203,sk
204,sl
205,sm
206,sn
207,so
208,sr
209,ss
210,st
211,sv
212,sx
213,sy
214,sz
215,tc
216,td
217,tf
218,tg
219,th
220,tj
221,tk
222,tl
223,tm
224,tn
225,to
226,tr
227,tt
228,tv
229,tw
230,tz
231,ua
232,ug
233,um
234,us
235,uy
236,uz
237,va
238,vc
239,ve
240,vg
241,vi
242,vn
243,vu
244,wa
245,wf
246,ws
247,yc
248,ye
249,yt
250,za
251,zm
252,zw
maxprestige,0
